Gender,Age,Annual Income (k$),Spending Score (1-100),AgeBand,IncomeBand,IncomeNorm,SpendNorm,SpendToIncome,Cluster_KMeans,Cluster_GMM,Cluster_DBSCAN,Cluster_KMeans_3D
Male,19,15,39,18-25,Low (<40k),0.0,0.3877551020408163,2.6,4,4,2,1
Male,21,15,81,18-25,Low (<40k),0.0,0.8163265306122449,5.4,2,2,0,1
Female,20,16,6,18-25,Low (<40k),0.00819672131147541,0.05102040816326531,0.375,4,4,1,0
Female,23,16,77,18-25,Low (<40k),0.00819672131147541,0.7755102040816326,4.8125,2,2,0,1
Female,31,17,40,26-40,Low (<40k),0.01639344262295082,0.3979591836734694,2.3529411764705883,4,4,2,1
Female,22,17,76,18-25,Low (<40k),0.01639344262295082,0.7653061224489796,4.470588235294118,2,2,0,1
Female,35,18,6,26-40,Low (<40k),0.02459016393442623,0.05102040816326531,0.3333333333333333,4,4,1,0
Female,23,18,94,18-25,Low (<40k),0.02459016393442623,0.9489795918367347,5.222222222222222,2,2,-1,1
Male,64,19,3,56+,Low (<40k),0.03278688524590164,0.02040816326530612,0.15789473684210525,4,4,1,0
Female,30,19,72,26-40,Low (<40k),0.03278688524590164,0.7244897959183674,3.789473684210526,2,2,0,1
Male,67,19,14,56+,Low (<40k),0.03278688524590164,0.1326530612244898,0.7368421052631579,4,4,1,0
Female,35,19,99,26-40,Low (<40k),0.03278688524590164,1.0,5.2105263157894735,2,2,-1,1
Female,58,20,15,56+,Low (<40k),0.040983606557377046,0.14285714285714285,0.75,4,4,1,0
Female,24,20,77,18-25,Low (<40k),0.040983606557377046,0.7755102040816326,3.85,2,2,0,1
Male,37,20,13,26-40,Low (<40k),0.040983606557377046,0.12244897959183673,0.65,4,4,1,0
Male,22,20,79,18-25,Low (<40k),0.040983606557377046,0.7959183673469388,3.95,2,2,0,1
Female,35,21,35,26-40,Low (<40k),0.04918032786885246,0.3469387755102041,1.6666666666666667,4,4,2,0
Male,20,21,66,18-25,Low (<40k),0.04918032786885246,0.6632653061224489,3.142857142857143,2,2,0,1
Male,52,23,29,41-55,Low (<40k),0.06557377049180328,0.2857142857142857,1.2608695652173914,4,4,2,0
Female,35,23,98,26-40,Low (<40k),0.06557377049180328,0.9897959183673469,4.260869565217392,2,2,-1,1
Male,35,24,35,26-40,Low (<40k),0.07377049180327869,0.3469387755102041,1.4583333333333333,4,4,2,0
Male,25,24,73,18-25,Low (<40k),0.07377049180327869,0.7346938775510204,3.0416666666666665,2,2,0,1
Female,46,25,5,41-55,Low (<40k),0.08196721311475409,0.04081632653061224,0.2,4,4,1,0
Male,31,25,73,26-40,Low (<40k),0.08196721311475409,0.7346938775510204,2.92,2,2,0,1
Female,54,28,14,41-55,Low (<40k),0.10655737704918032,0.1326530612244898,0.5,4,4,1,0
Male,29,28,82,26-40,Low (<40k),0.10655737704918032,0.826530612244898,2.9285714285714284,2,2,0,1
Female,45,28,32,41-55,Low (<40k),0.10655737704918032,0.3163265306122449,1.1428571428571428,4,4,2,0
Male,35,28,61,26-40,Low (<40k),0.10655737704918032,0.6122448979591837,2.1785714285714284,2,2,0,1
Female,40,29,31,26-40,Low (<40k),0.11475409836065574,0.30612244897959184,1.0689655172413792,4,4,2,0
Female,23,29,87,18-25,Low (<40k),0.11475409836065574,0.8775510204081632,3.0,2,2,0,1
Male,60,30,4,56+,Low (<40k),0.12295081967213115,0.030612244897959183,0.13333333333333333,4,4,1,0
Female,21,30,73,18-25,Low (<40k),0.12295081967213115,0.7346938775510204,2.433333333333333,2,2,0,1
Male,53,33,4,41-55,Low (<40k),0.14754098360655737,0.030612244897959183,0.12121212121212122,4,4,1,0
Male,18,33,92,18-25,Low (<40k),0.14754098360655737,0.9285714285714286,2.787878787878788,2,2,0,1
Female,49,33,14,41-55,Low (<40k),0.14754098360655737,0.1326530612244898,0.42424242424242425,4,4,1,0
Female,21,33,81,18-25,Low (<40k),0.14754098360655737,0.8163265306122449,2.4545454545454546,2,2,0,1
Female,42,34,17,41-55,Low (<40k),0.1557377049180328,0.16326530612244897,0.5,4,4,1,0
Female,30,34,73,26-40,Low (<40k),0.1557377049180328,0.7346938775510204,2.1470588235294117,2,2,0,1
Female,36,37,26,26-40,Low (<40k),0.18032786885245902,0.25510204081632654,0.7027027027027027,4,4,3,0
Female,20,37,75,18-25,Low (<40k),0.18032786885245902,0.7551020408163265,2.027027027027027,2,2,0,1
Female,65,38,35,56+,Low (<40k),0.1885245901639344,0.3469387755102041,0.9210526315789473,4,4,3,4
Male,24,38,92,18-25,Low (<40k),0.1885245901639344,0.9285714285714286,2.4210526315789473,2,2,-1,1
Male,48,39,36,41-55,Low (<40k),0.19672131147540983,0.35714285714285715,0.9230769230769231,4,4,3,0
Female,31,39,61,26-40,Low (<40k),0.19672131147540983,0.6122448979591837,1.564102564102564,0,0,3,1
Female,49,39,28,41-55,Low (<40k),0.19672131147540983,0.2755102040816326,0.717948717948718,4,4,3,0
Female,24,39,65,18-25,Low (<40k),0.19672131147540983,0.6530612244897959,1.6666666666666667,2,0,3,1
Female,50,40,55,41-55,Middle (40-70k),0.20491803278688525,0.5510204081632653,1.375,0,0,3,4
Female,27,40,47,26-40,Middle (40-70k),0.20491803278688525,0.46938775510204084,1.175,0,0,3,1
Female,29,40,42,26-40,Middle (40-70k),0.20491803278688525,0.41836734693877553,1.05,0,0,3,1
Female,31,40,42,26-40,Middle (40-70k),0.20491803278688525,0.41836734693877553,1.05,0,0,3,1
Female,49,42,52,41-55,Middle (40-70k),0.22131147540983606,0.5204081632653061,1.2380952380952381,0,0,3,4
Male,33,42,60,26-40,Middle (40-70k),0.22131147540983606,0.6020408163265306,1.4285714285714286,0,0,3,1
Female,31,43,54,26-40,Middle (40-70k),0.22950819672131148,0.5408163265306123,1.255813953488372,0,0,3,1
Male,59,43,60,56+,Middle (40-70k),0.22950819672131148,0.6020408163265306,1.3953488372093024,0,0,3,4
Female,50,43,45,41-55,Middle (40-70k),0.22950819672131148,0.4489795918367347,1.0465116279069768,0,0,3,4
Male,47,43,41,41-55,Middle (40-70k),0.22950819672131148,0.40816326530612246,0.9534883720930233,0,0,3,4
Female,51,44,50,41-55,Middle (40-70k),0.23770491803278687,0.5,1.1363636363636365,0,0,3,4
Male,69,44,46,56+,Middle (40-70k),0.23770491803278687,0.45918367346938777,1.0454545454545454,0,0,3,4
Female,27,46,51,26-40,Middle (40-70k),0.2540983606557377,0.5102040816326531,1.108695652173913,0,0,3,1
